Feature,XGBoost Accuracy,XGBoost Precision,XGBoost Recall,XGBoost F1 Score
"lender_insurance_premium, metro_type",0.6259259259259259,0.6185983827493261,0.9582463465553236,0.7518427518427518
"lender_insurance_premium, LMI_type",0.6308641975308642,0.6206434316353887,0.9665970772442589,0.7559183673469386
"lender_insurance_premium, LMI_type",0.6308641975308642,0.6206434316353887,0.9665970772442589,0.7559183673469386
"lender_insurance_premium, revenue",0.6234567901234568,0.6302395209580839,0.8789144050104384,0.7340889276373147
"lender_insurance_premium, revenue",0.6234567901234568,0.6302395209580839,0.8789144050104384,0.7340889276373147
"lender_insurance_premium, full_time_employees",0.6382716049382716,0.6284530386740331,0.9498956158663883,0.7564422277639233
"lender_insurance_premium, full_time_employees",0.6382716049382716,0.6284530386740331,0.9498956158663883,0.7564422277639233
"lender_insurance_premium, naics_code",0.6407407407407407,0.6482649842271293,0.8580375782881002,0.7385444743935311
"lender_insurance_premium, naics_code",0.6407407407407407,0.6482649842271293,0.8580375782881002,0.7385444743935311
"lender_insurance_premium, jobs_created",0.6382716049382716,0.6260162601626016,0.964509394572025,0.7592440427280198
"lender_insurance_premium, jobs_created",0.6382716049382716,0.6260162601626016,0.964509394572025,0.7592440427280198
"lender_insurance_premium, lender_type_category",0.6765432098765433,0.6496551724137931,0.9832985386221295,0.782392026578073
"lender_insurance_premium, lender_type_category",0.6765432098765433,0.6496551724137931,0.9832985386221295,0.782392026578073
"lender_insurance_premium, optional_primary_use_of_funds",0.6333333333333333,0.6233062330623306,0.9603340292275574,0.7559572719802793
"lender_insurance_premium, optional_primary_use_of_funds",0.6333333333333333,0.6233062330623306,0.9603340292275574,0.7559572719802793
"lender_insurance_premium, optional_revenue_yr_confirmed",0.7148148148148148,0.8583815028901735,0.6200417536534447,0.72
"lender_insurance_premium, optional_revenue_yr_confirmed",0.7148148148148148,0.8583815028901735,0.6200417536534447,0.72
"lender_insurance_premium, optional_stage",0.6333333333333333,0.6219839142091153,0.9686847599164927,0.7575510204081632
"lender_insurance_premium, optional_stage",0.6333333333333333,0.6219839142091153,0.9686847599164927,0.7575510204081632
"lender_insurance_premium, support_amount",0.737037037037037,0.7703252032520326,0.791231732776618,0.7806385169927911
"lender_insurance_premium, support_amount",0.737037037037037,0.7703252032520326,0.791231732776618,0.7806385169927911
"metro_type, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, revenue",0.6333333333333333,0.6625,0.7745302713987474,0.7141482194417708
"metro_type, revenue",0.6333333333333333,0.6625,0.7745302713987474,0.7141482194417708
"metro_type, full_time_employees",0.6098765432098765,0.6342668863261944,0.8037578288100209,0.7090239410681399
"metro_type, full_time_employees",0.6098765432098765,0.6342668863261944,0.8037578288100209,0.7090239410681399
"metro_type, naics_code",0.6444444444444445,0.6826003824091779,0.7453027139874739,0.7125748502994013
"metro_type, naics_code",0.6444444444444445,0.6826003824091779,0.7453027139874739,0.7125748502994013
"metro_type, jobs_created",0.6098765432098765,0.629570747217806,0.826722338204593,0.7148014440433212
"metro_type, jobs_created",0.6098765432098765,0.629570747217806,0.826722338204593,0.7148014440433212
"metro_type, lender_type_category",0.7358024691358025,0.7387387387387387,0.8559498956158664,0.7930367504835589
"metro_type, lender_type_category",0.7358024691358025,0.7387387387387387,0.8559498956158664,0.7930367504835589
"metro_type, optional_primary_use_of_funds",0.5901234567901235,0.8209606986899564,0.3924843423799583,0.5310734463276837
"metro_type, optional_primary_use_of_funds",0.5901234567901235,0.8209606986899564,0.3924843423799583,0.5310734463276837
"metro_type, optional_revenue_yr_confirmed",0.7197530864197531,0.8214285714285714,0.6722338204592901,0.7393800229621125
"metro_type, optional_revenue_yr_confirmed",0.7197530864197531,0.8214285714285714,0.6722338204592901,0.7393800229621125
"metro_type, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, support_amount",0.7493827160493827,0.7371134020618557,0.8956158663883089,0.8086710650329878
"metro_type, support_amount",0.7493827160493827,0.7371134020618557,0.8956158663883089,0.8086710650329878
