Feature,Logistic Regression Accuracy,Logistic Regression Precision,Logistic Regression Recall,Logistic Regression F1 Score
"metro_type, lender_type_category",0.7195945945945946,0.7686567164179104,0.6645161290322581,0.7128027681660901
"metro_type, lender_type_category",0.7195945945945946,0.7686567164179104,0.6645161290322581,0.7128027681660901
"metro_type, optional_primary_use_of_funds",0.7297297297297297,0.9120879120879121,0.535483870967742,0.6747967479674797
"metro_type, optional_primary_use_of_funds",0.7297297297297297,0.9120879120879121,0.535483870967742,0.6747967479674797
"metro_type, optional_revenue_yr_confirmed",0.7837837837837838,0.8956521739130435,0.6645161290322581,0.762962962962963
"metro_type, optional_revenue_yr_confirmed",0.7837837837837838,0.8956521739130435,0.6645161290322581,0.762962962962963
"metro_type, optional_stage",0.625,0.84375,0.34838709677419355,0.4931506849315068
"metro_type, optional_stage",0.625,0.84375,0.34838709677419355,0.4931506849315068
"metro_type, support_amount",0.7702702702702703,0.7457627118644068,0.8516129032258064,0.7951807228915663
"metro_type, support_amount",0.7702702702702703,0.7457627118644068,0.8516129032258064,0.7951807228915663
"LMI_type, revenue",0.5168918918918919,0.581081081081081,0.27741935483870966,0.3755458515283842
"LMI_type, revenue",0.5168918918918919,0.581081081081081,0.27741935483870966,0.3755458515283842
"LMI_type, full_time_employees",0.5,0.5353535353535354,0.3419354838709677,0.4173228346456693
"LMI_type, full_time_employees",0.5,0.5353535353535354,0.3419354838709677,0.4173228346456693
"LMI_type, naics_code",0.49324324324324326,0.5213675213675214,0.3935483870967742,0.4485294117647059
"LMI_type, naics_code",0.49324324324324326,0.5213675213675214,0.3935483870967742,0.4485294117647059
"LMI_type, jobs_created",0.5,0.5304347826086957,0.3935483870967742,0.4518518518518519
"LMI_type, jobs_created",0.5,0.5304347826086957,0.3935483870967742,0.4518518518518519
"LMI_type, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"LMI_type, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"LMI_type, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"LMI_type, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"LMI_type, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"LMI_type, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"LMI_type, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"LMI_type, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"LMI_type, support_amount",0.7128378378378378,0.6923076923076923,0.8129032258064516,0.7477744807121662
"LMI_type, support_amount",0.7128378378378378,0.6923076923076923,0.8129032258064516,0.7477744807121662
"revenue, full_time_employees",0.5608108108108109,0.6811594202898551,0.3032258064516129,0.41964285714285715
"revenue, full_time_employees",0.5608108108108109,0.6811594202898551,0.3032258064516129,0.41964285714285715
"revenue, naics_code",0.5405405405405406,0.6376811594202898,0.2838709677419355,0.39285714285714285
"revenue, naics_code",0.5405405405405406,0.6376811594202898,0.2838709677419355,0.39285714285714285
"revenue, jobs_created",0.5202702702702703,0.5942028985507246,0.2645161290322581,0.36607142857142855
"revenue, jobs_created",0.5202702702702703,0.5942028985507246,0.2645161290322581,0.36607142857142855
"revenue, lender_type_category",0.6756756756756757,0.7478991596638656,0.5741935483870968,0.6496350364963503
"revenue, lender_type_category",0.6756756756756757,0.7478991596638656,0.5741935483870968,0.6496350364963503
"revenue, optional_primary_use_of_funds",0.6959459459459459,0.9710144927536232,0.432258064516129,0.5982142857142857
"revenue, optional_primary_use_of_funds",0.6959459459459459,0.9710144927536232,0.432258064516129,0.5982142857142857
"revenue, optional_revenue_yr_confirmed",0.7466216216216216,0.8846153846153846,0.5935483870967742,0.7104247104247103
"revenue, optional_revenue_yr_confirmed",0.7466216216216216,0.8846153846153846,0.5935483870967742,0.7104247104247103
"revenue, optional_stage",0.5709459459459459,0.75,0.2709677419354839,0.3981042654028436
"revenue, optional_stage",0.5709459459459459,0.75,0.2709677419354839,0.3981042654028436
"revenue, support_amount",0.722972972972973,0.7016574585635359,0.8193548387096774,0.7559523809523809
"revenue, support_amount",0.722972972972973,0.7016574585635359,0.8193548387096774,0.7559523809523809
"full_time_employees, naics_code",0.4966216216216216,0.5227272727272727,0.44516129032258067,0.4808362369337979
"full_time_employees, naics_code",0.4966216216216216,0.5227272727272727,0.44516129032258067,0.4808362369337979
"full_time_employees, jobs_created",0.4966216216216216,0.5405405405405406,0.25806451612903225,0.34934497816593885
"full_time_employees, jobs_created",0.4966216216216216,0.5405405405405406,0.25806451612903225,0.34934497816593885
"full_time_employees, lender_type_category",0.652027027027027,0.7203389830508474,0.5483870967741935,0.6227106227106227
"full_time_employees, lender_type_category",0.652027027027027,0.7203389830508474,0.5483870967741935,0.6227106227106227
"full_time_employees, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"full_time_employees, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"full_time_employees, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"full_time_employees, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"full_time_employees, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"full_time_employees, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"full_time_employees, support_amount",0.7162162162162162,0.6939890710382514,0.8193548387096774,0.7514792899408284
"full_time_employees, support_amount",0.7162162162162162,0.6939890710382514,0.8193548387096774,0.7514792899408284
"naics_code, jobs_created",0.4864864864864865,0.5135135135135135,0.36774193548387096,0.4285714285714285
"naics_code, jobs_created",0.4864864864864865,0.5135135135135135,0.36774193548387096,0.4285714285714285
"naics_code, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"naics_code, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"naics_code, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"naics_code, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"naics_code, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"naics_code, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"naics_code, optional_stage",0.5202702702702703,0.7407407407407407,0.12903225806451613,0.21978021978021978
"naics_code, optional_stage",0.5202702702702703,0.7407407407407407,0.12903225806451613,0.21978021978021978
"naics_code, support_amount",0.7094594594594594,0.6844919786096256,0.8258064516129032,0.7485380116959064
"naics_code, support_amount",0.7094594594594594,0.6844919786096256,0.8258064516129032,0.7485380116959064
"jobs_created, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"jobs_created, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"jobs_created, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"jobs_created, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"jobs_created, optional_revenue_yr_confirmed",0.7297297297297297,0.8865979381443299,0.5548387096774193,0.6825396825396826
"jobs_created, optional_revenue_yr_confirmed",0.7297297297297297,0.8865979381443299,0.5548387096774193,0.6825396825396826
"jobs_created, optional_stage",0.5405405405405406,0.7021276595744681,0.2129032258064516,0.32673267326732675
"jobs_created, optional_stage",0.5405405405405406,0.7021276595744681,0.2129032258064516,0.32673267326732675
"jobs_created, support_amount",0.7094594594594594,0.6885245901639344,0.8129032258064516,0.7455621301775148
"jobs_created, support_amount",0.7094594594594594,0.6885245901639344,0.8129032258064516,0.7455621301775148
"lender_type_category, optional_primary_use_of_funds",0.7668918918918919,0.8071428571428572,0.7290322580645161,0.7661016949152543
"lender_type_category, optional_primary_use_of_funds",0.7668918918918919,0.8071428571428572,0.7290322580645161,0.7661016949152543
"lender_type_category, optional_revenue_yr_confirmed",0.7128378378378378,0.7916666666666666,0.6129032258064516,0.6909090909090909
