unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
694,737,100000.0,0.0,0,1,13842211.0,90.0,445110,20.0,0,1,2013.0,0,1
534,424,1500000.0,0.0,0,1,35000000.0,27.0,236220,7.0,0,4,2016.0,0,1
1216,787,1150000.0,0.0,1,0,8988900.0,375.0,722511,7.0,3,2,2015.0,0,0
706,658,50000.0,0.0,0,0,6219200.0,27.0,531120,3.0,3,2,2013.0,0,0
534,424,1500000.0,0.0,0,1,35000000.0,27.0,236220,7.0,0,4,2016.0,0,1
1282,511,1263721.5,0.0,0,1,4183560.13,15.0,334290,0.0,2,4,2016.0,0,0
1007,751,1450000.0,0.0,0,0,8036000.0,39.0,811212,2.0,0,2,2012.0,0,0
927,464,800000.0,0.0,0,1,3762451.0,24.0,541990,0.0,2,4,2014.0,0,0
353,171,50000.0,0.0,0,0,2079034.0,35.0,311920,10.0,0,4,2014.0,0,0
909,694,1564500.0,0.0,0,0,4300000.0,26.0,331222,10.0,0,4,2014.0,0,1
979,448,635000.0,0.0,1,0,10377063.0,100.0,321113,0.0,3,4,2014.0,0,1
730,525,801600.0,0.0,0,1,1100000.0,15.0,333318,5.0,0,1,2014.0,0,0
275,590,300000.0,0.0,0,0,6694000.0,40.0,323113,6.0,0,4,2014.0,0,0
539,96,150000.0,0.0,0,1,3589331.0,35.0,722310,5.0,0,0,2016.0,0,1
642,757,300000.0,0.0,0,1,0.0,15.0,238990,0.0,3,4,2014.0,0,1
1322,502,4950000.0,0.0,0,1,9798075.0,27.0,312140,12.0,0,1,2015.0,0,1
998,287,250000.0,0.0,0,1,2949000.0,35.0,721110,0.0,0,4,2011.0,0,0
1073,664,5000000.0,0.0,0,1,6000.0,35.0,425120,32.0,2,1,2016.0,1,0
853,449,175000.0,0.0,1,0,2841000.0,180.0,484121,5.0,2,1,2015.0,0,1
628,148,350000.0,0.0,0,1,1700000.0,15.0,541613,0.0,3,4,2014.0,0,1
1444,70,1215000.0,0.0,1,0,19424158.0,32.5,445110,0.0,2,2,2016.0,0,1
1104,584,157400.0,2361.0,0,1,247362.0,31.0,531210,137.0,0,4,2014.0,0,0
1341,457,286000.0,0.0,1,1,5302000.0,15.0,447110,0.0,0,3,2014.0,0,1
131,99,350000.0,0.0,0,1,7630000.0,65.0,321911,0.0,0,4,2014.0,0,0
1374,780,125000.0,0.0,1,0,4899456.0,26.0,333517,6.0,3,4,2013.0,0,0
197,823,750000.0,0.0,0,1,2291341.0,18.0,541330,3.0,0,4,2014.0,0,0
1196,529,400000.0,0.0,0,1,0.0,17.0,238130,5.0,0,4,2014.0,0,1
517,395,348800.0,0.0,1,0,2181000.0,15.0,236220,1.0,0,3,2013.0,0,1
538,23,750000.0,0.0,0,1,5604373.0,63.0,238140,4.0,0,4,2016.0,0,1
639,679,250000.0,0.0,0,1,441303.0,17.0,238210,1.0,3,4,2014.0,0,1
866,87,189009.0,0.0,0,1,0.0,15.0,722511,0.0,2,0,2015.0,0,1
948,715,150000.0,0.0,0,0,3600000.0,30.0,238110,15.0,2,4,2014.0,0,0
818,231,3298000.0,0.0,0,1,1861400.0,30.0,721110,0.0,0,2,2014.0,0,0
856,535,500000.0,0.0,0,0,0.0,75.0,722511,75.0,0,2,2015.0,0,1
1427,393,1483670.0,0.0,0,0,4608262.0,20.0,311821,10.0,0,2,2015.0,0,1
858,329,1400000.0,0.0,0,1,681457.0,42.0,722513,1.0,0,2,2015.0,0,1
1278,588,1498966.2,0.0,1,0,844292.28,23.0,511210,3.0,2,4,2015.0,4,0
999,373,250000.0,0.0,1,1,74942000.0,131.0,441110,30.0,0,1,2011.0,0,0
138,285,180000.0,0.0,0,1,850055.0,34.0,445299,15.0,0,4,2014.0,0,0
971,827,300000.0,0.0,1,1,445360.0,15.0,236220,8.0,0,0,2016.0,0,1
871,470,1250000.0,0.0,1,1,4700000.0,34.0,721110,2.0,0,0,2016.0,0,1
1397,224,290000.0,0.0,0,1,14100000.0,99.0,332911,15.0,3,1,2015.0,0,0
1477,470,500000.0,0.0,1,1,2035337.0,23.0,333111,30.0,0,4,2017.0,0,1
709,776,100000.0,0.0,0,0,5841000.0,30.0,332710,7.0,3,2,2013.0,0,0
1195,427,1735000.0,0.0,0,1,0.0,31.0,423120,6.0,0,3,2014.0,0,1
84,475,528000.0,0.0,0,1,7422954.0,510.0,561730,30.0,0,4,2014.0,0,0
1236,696,1750000.0,0.0,0,0,4600000.0,47.0,339113,42.0,2,4,2014.0,0,0
465,342,128633.0,0.0,0,1,1346140.0,28.0,623220,6.0,0,4,2014.0,0,0
859,674,350000.0,0.0,1,1,32800.0,64.0,445310,10.0,0,0,2015.0,0,1
636,621,100000.0,0.0,0,1,47413.76,19.0,533110,0.0,3,4,2014.0,0,1
536,836,240000.0,0.0,0,0,3640501.0,248.0,722511,8.0,0,4,2016.0,0,1
754,303,750000.0,0.0,0,1,0.0,48.0,238220,47.0,0,1,2015.0,0,0
1364,206,800000.0,0.0,1,1,9900000.0,47.0,327120,6.0,3,4,2012.0,0,0
1398,242,5200000.0,0.0,1,0,30885816.0,85.0,312120,8.0,3,0,2016.0,0,0
805,861,165000.0,3750.0,1,1,3073294.0,40.0,238220,0.0,0,4,2016.0,0,0
1427,393,1483670.0,0.0,0,0,4608262.0,20.0,311821,10.0,0,2,2015.0,0,1
861,724,1240000.0,0.0,0,1,8765000.0,56.0,332710,0.0,0,3,2015.0,0,1
1342,494,400000.0,0.0,1,1,6163000.0,26.0,424420,2.0,0,3,2014.0,0,1
174,603,800000.0,0.0,0,0,17559280.0,38.0,447110,10.0,0,4,2014.0,0,0
981,561,250000.0,0.0,1,1,533388.0,20.0,722511,5.0,0,4,2014.0,0,1
637,580,240000.0,0.0,0,0,1900000.0,15.0,332510,2.0,3,4,2014.0,0,1
1438,408,1000000.0,0.0,0,1,6604148.0,29.0,332812,0.0,2,4,2015.0,0,0
511,441,3000000.0,0.0,0,1,6890578.0,120.0,611110,7.0,0,4,2014.0,0,0
865,72,304500.0,0.0,0,1,0.0,40.0,713120,40.0,2,1,2015.0,0,1
949,576,200000.0,0.0,1,0,12600000.0,87.0,339112,15.0,3,4,2014.0,0,0
424,46,600000.0,0.0,0,1,4077000.0,42.0,611110,0.0,1,4,2014.0,0,0
1323,654,750000.0,0.0,0,0,14829456.0,65.0,334510,25.0,0,4,2015.0,0,1
1470,276,13490581.0,0.0,0,1,2566299.0,23.0,518210,18.0,0,0,2017.0,0,1
1336,334,558000.0,0.0,1,1,3053428.0,23.0,621210,0.0,0,3,2014.0,0,1
1336,334,558000.0,0.0,1,1,3053428.0,23.0,621210,0.0,0,3,2014.0,0,1
797,601,300000.0,0.0,0,1,738503.0,26.0,524298,7.0,2,4,2016.0,1,0
181,793,1000000.0,0.0,0,0,1120000.0,33.0,541310,6.0,0,4,2014.0,0,0
317,824,300000.0,0.0,0,1,2654642.0,17.0,444130,10.0,0,4,2014.0,0,0
747,205,250000.0,0.0,0,0,17007000.0,120.0,332996,30.0,0,4,2014.0,0,0
1352,475,51000.0,0.0,1,1,1005000.0,21.0,722511,0.0,0,0,2015.0,0,0
1470,276,13490581.0,0.0,0,1,2566299.0,23.0,518210,18.0,0,0,2017.0,0,1
