unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
433,741,125000.0,0.0,0,0,0.0,28.0,722511,5.0,0,4,2014.0,0,0
1436,318,82000.0,0.0,1,1,98730.0,15.0,334112,6.0,2,4,2015.0,0,0
875,539,262000.0,0.0,1,0,14927954.0,96.0,484121,0.0,2,1,2016.0,0,1
973,370,2200000.0,0.0,1,0,1972382.0,27.0,517110,5.0,0,1,2012.0,0,1
1413,215,250000.0,0.0,0,1,11821255.0,120.0,238160,30.0,2,4,2012.0,0,0
651,157,100000.0,0.0,1,1,1747692.0,27.0,722511,55.0,0,0,2012.0,0,1
1339,751,626000.0,0.0,1,0,5217000.0,60.0,621498,7.0,0,2,2016.0,0,1
214,75,500000.0,0.0,0,1,1421559.0,420.0,237210,180.0,0,4,2014.0,0,0
459,339,750000.0,0.0,0,0,0.0,15.0,236220,8.0,0,4,2014.0,0,0
1469,114,343606.0,0.0,1,1,6970767.0,21.0,213111,9.0,0,1,2013.0,0,1
848,152,1200000.0,0.0,1,0,17845399.0,230.0,334118,25.0,4,1,2014.0,0,1
392,505,236000.0,0.0,0,1,6748000.0,100.0,541512,54.0,0,4,2014.0,0,0
1027,591,5000000.0,0.0,1,1,18793048.0,114.0,333618,40.0,2,4,2016.0,0,0
1275,770,283000.0,0.0,0,0,7404022.14,18.0,312130,22.0,0,4,2015.0,0,0
850,349,2245000.0,0.0,1,0,25559148.0,115.0,336370,15.0,0,3,2014.0,0,1
16,859,350000.0,0.0,0,1,1993455.0,29.0,623110,2.0,0,4,2014.0,0,0
780,343,21000.0,500.0,0,1,3200000.0,30.0,722511,0.0,0,1,2013.0,0,0
863,336,875000.0,0.0,0,1,0.0,25.0,722511,25.0,0,1,2015.0,0,1
1114,693,500000.0,0.0,0,0,6000000.0,26.0,448110,40.0,0,4,2014.0,0,0
944,66,300000.0,0.0,0,1,1160000.0,18.0,722511,12.0,2,4,2014.0,0,1
1196,529,400000.0,0.0,0,1,0.0,17.0,238130,5.0,0,4,2014.0,0,1
328,846,2804000.0,0.0,0,1,10591753.0,150.0,722511,25.0,0,4,2014.0,0,0
693,737,412500.0,0.0,0,1,13842211.0,90.0,445110,20.0,0,1,2013.0,0,1
245,371,2500000.0,0.0,0,1,28432000.0,695.0,623220,0.0,0,4,2014.0,0,0
1118,729,974000.0,0.0,0,1,1206552.0,15.0,541940,5.0,2,4,2014.0,0,0
650,845,250000.0,0.0,1,1,2677478.0,25.0,444210,1.0,0,1,2012.0,0,1
1328,171,4000000.0,0.0,0,1,16587609.0,233.0,332999,30.0,0,4,2015.0,0,1
850,349,2245000.0,0.0,1,0,25559148.0,115.0,336370,15.0,0,3,2014.0,0,1
1265,254,7250000.0,0.0,0,0,1606230.0,59.0,423120,0.0,3,4,2015.0,0,0
250,392,100000.0,0.0,0,1,2349000.0,30.0,327999,6.0,0,4,2014.0,0,0
672,263,600000.0,0.0,0,1,3804629.0,51.0,511210,2.0,2,4,2014.0,0,0
638,604,100000.0,0.0,0,1,110000.0,22.0,561730,0.0,3,4,2014.0,0,1
1333,526,4300000.0,0.0,0,1,1718527.0,50.0,518210,100.0,2,4,2014.0,4,0
