unique_id,disbursement_date,ssbci_original_funds,lender_insurance_premium,metro_type,LMI_type,revenue,naics_code,jobs_created,jobs_retained,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount,full_time_employees
AL_2016_LGP_152,10/27/2016,0.0,0.0,Non-Metro,Non-LMI,3568990.0,488330,6.0,16.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,145000.0,16.0
AL_2016_LGP_159,11/14/2016,0.0,0.0,Metro,LMI,310177757.0,238150,0.0,55.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,625000.0,55.0
AL_2016_LGP_161,11/17/2016,0.0,0.0,Metro,Non-LMI,2073219.0,561740,4.0,25.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,197500.0,25.0
AL_2016_LGP_165,11/29/2016,0.0,0.0,Non-Metro,Non-LMI,2681586.0,712130,103.0,32.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1000000.0,32.0
AL_2016_LGP_166,11/29/2016,0.0,0.0,Metro,Non-LMI,2591445.0,812199,12.0,100.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,362500.0,100.0
AL_2016_LGP_168,12/2/2016,0.0,0.0,Metro,Non-LMI,3442995.0,332710,0.0,40.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,71000.0,40.0
AL_2016_LGP_171,12/14/2016,0.0,0.0,Non-Metro,Non-LMI,1668941.0,326191,0.0,15.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,50000.0,15.0
AL_2016_LGP_173,12/21/2016,0.0,0.0,Non-Metro,LMI,10200000.0,447190,0.0,39.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,200000.0,39.0
AL_2016_LGP_176,12/23/2016,0.0,0.0,Non-Metro,Non-LMI,9113000.0,446130,15.0,43.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,201850.0,43.0
AL_2016_LGP_180,12/29/2016,0.0,0.0,Non-Metro,Non-LMI,2323242.0,332710,0.0,24.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,13000.0,24.0
AR_2011_VCP_1,12/30/2011,250000.0,0.0,Metro,LMI,537600.0,541990,4.0,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,17.0
AR_2012_VCP_1,1/24/2012,66667.0,0.0,Metro,LMI,10132731.0,454112,0.0,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,85.0
AR_2012_VCP_2,3/28/2012,150000.0,0.0,Metro,Non-LMI,486335.0,541512,4.0,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,23.0
AR_2012_LPP_1,6/27/2012,800000.0,0.0,Non-Metro,Non-LMI,90000000.0,311412,15.0,0.0,Other,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,50.0
AR_2012_LPP_2,8/8/2012,700000.0,0.0,Metro,Non-LMI,0.0,311411,51.0,0.0,Other,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,51.0
AR_2012_LPP_3,8/8/2012,470000.0,0.0,Non-Metro,Non-LMI,0.0,325211,50.0,0.0,Other,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,50.0
AR_2012_LPP_4,8/23/2012,350000.0,0.0,Non-Metro,Non-LMI,0.0,321214,50.0,0.0,Other,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,50.0
AR_2012_VCP_19,11/7/2012,500000.0,0.0,Metro,LMI,10132731.0,454112,15.0,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,85.0
AR_2013_VCP_2,4/26/2013,114521.0,0.0,Metro,Non-LMI,486335.0,541512,3.0,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,23.0
AR_2013_VCP_5,5/10/2013,875000.0,0.0,Metro,LMI,2726621.0,324191,33.0,0.0,Loan Fund,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,0.0,17.0
